Date,HK.00316,HK.01378,HK.00883,HK.01171,HK.00386,HK.01308,HK.01088,HK.00998,600019.SS,HK.01919,HK.03988,HK.01288,HK.03323,HK.00762,HK.00857,HK.03328,HK.00728,HK.00941,HK.00939,000651.SZ,601088.SS,HK.02007,601006.SS,HK.01398,002157.SZ,601155.SS,HK.00267,HK.01044,601328.SS,600028.SS,601169.SS,HK.00017,HK.00868,601225.SS,601988.SS,HK.00688,000002.SZ,601818.SS,601288.SS,HK.02628,HK.00006,601398.SS,000069.SZ,600000.SS,601939.SS
2019-01-30,-8.486,3.2,10.87,3.4397,5.50632,3.33,15.29385,4.18193,5.569374084472656,2.3999976,2.94221,3.05863,4.84633,8.25007,4.35843,5.44865,3.895,72.989,5.85044,34.15891647338867,15.766829490661621,8.9997,6.975676536560059,5.08789,6.122882843017578,24.98938751220703,10.397,52.26262,5.105652332305908,4.62267541885376,4.932278156280518,41.38,6.9,7.070715427398682,3.085136651992798,25.8,23.862071990966797,3.4054677486419678,3.1480565071105957,17.15006,44.38,4.791086673736572,5.578521251678467,9.193608283996582,5.957714080810547
2019-01-31,-9.236,3.32,11.19,3.5897,5.49632,3.57,15.23385,4.25193,5.62554931640625,2.4307668,2.96221,3.06863,5.07633,8.29007,4.43843,5.57865,3.865,72.739,5.92044,35.0401611328125,15.927469253540039,9.3197,6.983845233917236,5.16789,6.066450595855713,25.45793914794922,10.497,53.61262,5.231201171875,4.704782962799072,5.0248637199401855,42.5,7.23,7.207678318023682,3.127631664276123,26.35,24.335630416870117,3.4908180236816406,3.182274341583252,17.59006,44.33,4.886044502258301,5.569818496704102,9.394991874694824,6.1400933265686035
2019-02-01,-9.236,3.42,11.29,3.8697,5.45632,3.67,15.07385,4.26193,5.673699378967285,2.4769206,2.95221,3.06863,5.10633,8.37007,4.44843,5.52865,3.835,73.589,5.91044,35.21641159057617,16.072046279907227,9.3197,7.106368541717529,5.12789,6.010018825531006,25.492645263671875,10.457,54.46262,5.206090927124023,4.712993621826172,5.058531761169434,42.98,7.18,7.190557956695557,3.127631664276123,26.05,24.27424430847168,3.473747968673706,3.182274341583252,17.71006,44.08,4.87741231918335,5.569818496704102,9.43001651763916,6.13140869140625
2019-02-04,-9.136,3.52,11.27,3.7497,5.48632,3.62,15.13385,4.23193,,2.4769206,2.95221,3.03863,5.09633,8.38007,4.42843,5.53865,3.765,73.839,5.86044,,,9.2997,,5.07789,,,10.317,53.86262,,,,42.66,7.17,,,26.1,,,,17.59006,43.93,,,,
2019-02-08,-9.136,3.51,10.95,3.5197,5.48632,3.65,14.73385,4.21193,,2.4692283,2.93221,2.98863,5.03633,8.29007,4.33843,5.50865,3.885,72.789,5.82044,,,9.5397,,5.04789,,,10.197,54.46262,,,,43.14,6.91,,,25.95,,,,17.45006,44.03,,,,
2019-02-11,-9.136,3.45,10.97,3.5197,5.44632,3.64,15.03385,4.17193,5.689749717712402,2.4538437,2.93221,3.01863,5.00633,8.39007,4.30843,5.50865,3.885,72.689,5.86044,36.14802169799805,16.05598258972168,9.4597,7.05735969543457,5.04789,6.6119608879089355,26.611961364746094,10.237,55.11262,5.164241790771484,4.680150985717773,5.0248637199401855,43.22,7.02,7.199118137359619,3.1191327571868896,25.8,24.265472412109375,3.4908180236816406,3.165165424346924,17.39006,44.53,4.86877965927124,5.63944149017334,9.36872386932373,6.13140869140625
2019-02-12,-9.136,3.46,11.15,3.6097,5.44632,3.59,14.93385,4.15193,5.665674209594727,2.4461514,2.93221,3.03863,4.99633,8.36007,4.29843,5.42865,3.895,72.939,5.85044,36.27391815185547,16.136301040649414,9.3197,7.024685859680176,5.04789,7.006985664367676,26.290918350219727,10.237,55.26262,5.155872344970703,4.671940326690674,5.033280849456787,43.22,7.2,7.216238975524902,3.127631664276123,25.5,24.02869415283203,3.4481425285339355,3.182274341583252,17.41006,44.93,4.87741231918335,5.630738258361816,9.386236190795898,6.1227240562438965
2019-02-13,-9.136,3.46,11.45,3.8897,5.60632,3.61,14.91385,4.18193,5.753949165344238,2.4769206,2.95221,3.07863,5.28633,8.72007,4.40843,5.53865,4.025,73.589,5.90044,36.51730728149414,16.15236473083496,9.4397,7.106368541717529,5.08789,6.941148281097412,26.230180740356445,10.357,55.46262,5.247941017150879,4.811523914337158,5.092198848724365,44.02,7.17,7.173437595367432,3.1616275310516357,25.75,24.35317039489746,3.473747968673706,3.2164924144744873,18.05006,44.93,4.929207801818848,5.717767238616943,9.508817672729492,6.174831867218018
2019-02-14,-9.136,3.44,11.53,3.8997,5.56632,3.46,14.95385,4.15193,5.761974334716797,2.5153821,2.95221,3.06863,5.23633,8.71007,4.41843,5.55865,4.095,73.839,5.89044,37.2223014831543,16.080078125,9.0797,7.049190998077393,5.06789,6.86590576171875,26.43842315673828,10.457,55.81262,5.197721481323242,4.795102596282959,5.058531761169434,43.7,7.12,7.156317234039307,3.144629716873169,26.4,24.06377410888672,3.4566779136657715,3.173719882965088,17.61006,44.93,4.87741231918335,5.6916584968566895,9.473793983459473,6.105354309082031
2019-02-15,-9.436,3.32,11.35,3.6697,5.43632,3.4,14.53385,4.08193,5.63357400894165,2.4538437,2.86221,3.01863,5.04633,8.51007,4.35843,5.43865,3.945,73.739,5.71044,35.87944793701172,15.782893180847168,8.7197,6.910330772399902,4.92789,7.496063709259033,25.8397216796875,10.377,55.31262,5.0889129638671875,4.721205234527588,5.016447067260742,43.38,6.79,6.976552486419678,3.1021347045898438,25.8,23.283279418945312,3.4054677486419678,3.1223928928375244,17.11006,44.63,4.756556510925293,5.5088982582092285,9.333701133728027,5.940344333648682
