Date	316 HK Equity	1378 HK Equity	883 HK Equity	1171 HK Equity	386 HK Equity	1308 HK Equity	1088 HK Equity	998 HK Equity	600019 CH Equity	1919 HK Equity	3988 HK Equity	1288 HK Equity	3323 HK Equity	762 HK Equity	857 HK Equity	3328 HK Equity	728 HK Equity	941 HK Equity	939 HK Equity	000651 CH Equity	601088 CH Equity	2007 HK Equity	601006 CH Equity	1398 HK Equity	002157 CH Equity	601155 CH Equity	267 HK Equity	1044 HK Equity	601328 CH Equity	600028 CH Equity	601169 CH Equity	17 HK Equity	868 HK Equity	601225 CH Equity	601988 CH Equity	688 HK Equity	000002 CH Equity	601818 CH Equity	601288 CH Equity	2628 HK Equity	6 HK Equity	601398 CH Equity
11/7/18	-0.03125	0.005769	-0.002878	-0.016905	-0.00295	0.02027	0.01921	0.002	-0.009764	-0.009868	0.002924	0	-0.00319	-0.008168	0.006745	0.005068	-0.005222	-0.012873	-0.001529	-0.006416	0.000397	-0.001106	-0.010417	0.00367	-0.000583	-0.014105	0.00165	0.012759	-0.007324	-0.017896	0.002699	0	0.008187	-0.020809	-0.000583	-0.001946	-0.012589	-0.003107	-0.00322	-0.001217	-0.001899	-0.00239
11/8/18	-0.008602	0.007648	0.021645	0.017196	0.007396	0.02649	0.001047	-0.003992	-0.000868	0.006645	0.002915	0	-0.016	0.017647	0.0134	0.010084	0.026247	0.027454	0.009188	-0.001935	0.015899	0.003322	0.002768	0.003656	0.020133	-0.0038	0.01318	0	0.007975	-0.000591	-0.003823	0.007707	-0.00232	-0.000977	0.000537	0.007797	0.003667	0.002863	0.00045	0.007308	0.005709	-0.000382
11/9/18	0.015184	-0.026565	-0.043785	-0.022107	-0.014684	-0.01129	-0.027197	-0.028056	-0.014611	-0.039604	-0.026163	-0.033149	-0.003252	-0.027746	-0.02314	-0.009983	-0.02046	-0.026052	-0.024279	-0.016735	-0.017137	-0.040839	-0.006437	-0.027322	-0.020197	-0.007171	-0.014634	-0.010236	-0.02788	-0.020291	-0.019088	-0.021033	-0.026744	-0.012421	-0.024478	-0.025145	-0.02103	-0.035395	-0.039577	-0.015719	-0.010407	-0.0352
11/12/18	-0.012821	0.023392	0.014771	0.005319	-0.010432	0.003263	0.002151	0.004124	0.002108	0.010309	-0.002985	-0.008571	0.011419	-0.001189	0.00846	-0.008403	0.007833	0.017833	-0.001555	0.014175	-0.023992	0.005754	0.004392	0	0.001658	0.014845	-0.00165	-0.005569	0.006324	0.005943	0.006095	-0.001953	-0.019116	-0.009142	0.005	-0.007937	0.013436	-0.000568	-0.003306	0.002457	0.006692	0.0013
11/13/18	0.017316	-0.015238	-0.030568	-0.005291	0.003012	-0.006504	-0.008584	-0.004107	-0.000946	0.010204	0	0.005764	0.003226	0.014286	-0.013423	-0.001695	0.012953	0.012129	0.003115	0.005493	-0.008614	0.016018	0.00039	0.003745	0.055967	0.005588	0.003306	0.024	0.00039	0.00039	0.003702	0.003914	0.036541	0.00039	0.003161	0.002	0.002903	0.002995	0.003138	0.008578	0.006648	0.004123
11/14/18	0	-0.015474	-0.046547	-0.009309	-0.022523	0.03437	-0.006494	0.008247	-0.005427	0.016835	-0.002994	-0.005731	0	-0.001174	-0.035714	0.001698	0.023018	0	-0.003106	-0.014232	-0.014395	0.007883	-0.007387	0	-0.005058	0.019181	0.009885	-0.015625	-0.009021	-0.032758	-0.0103	0.003899	-0.042303	0.008692	-0.009798	0.00998	0.010049	-0.006536	-0.015193	-0.00729	0.000943	-0.011762
11/15/18	0.01383	-0.013752	0.020472	0.030872	0.010753	0.045886	0.007625	0.00818	0.0081	0.006623	0.009009	0.011527	0.016077	0.024677	0.005291	0.001695	0.0375	0.017976	0.012461	-0.005607	0.015219	0.027933	0.005103	0.009328	0.005605	0.003317	0.009788	-0.001587	0.013489	0.006394	0.008048	0.023301	0.02454	-0.001096	0.006956	0.029644	0.010898	0.009226	0.00694	0.025704	0.012253	0.008905
11/16/18	0.007345	0.001992	0.010802	-0.001302	0.015198	0.012103	-0.001081	0.006085	-0.006565	0.019737	0.002976	0	-0.052215	0.009174	-0.003509	0.00846	-0.021687	0.005232	0.004615	0.001678	-0.003419	-0.007609	-0.007325	0.003697	0.00012	0.012207	0.004847	0	0.00012	0.008455	0.003437	0.005693	-0.02515	-0.014642	0.00012	0.015355	0.016529	0.002718	-0.00265	0.01432	-0.002793	-0.001749
11/19/18	-0.002083	-0.019881	0.018321	0.007823	0.013473	-0.040359	0.010823	0.016129	0.00237	0.019355	0.005935	0	-0.016694	0.005682	-0.001761	-0.003356	0.022167	0.005205	0.004594	0.006673	0.015402	0.027382	0.005927	0.003683	-0.017193	0.047044	0.003215	0.002385	0.008223	0.012898	0.012898	0.015094	0.028256	0.005919	0.010787	0.039698	0.047686	0.017808	0.013563	-0.007059	0.004669	0.012783
11/20/18	-0.020877	-0.068966	-0.022489	-0.016818	-0.013294	-0.029595	-0.001071	-0.003968	-0.020894	-0.031646	-0.00885	-0.008547	0.001698	-0.011299	-0.022928	-0.003367	-0.021687	-0.009709	-0.012195	-0.023146	-0.023235	-0.015991	-0.01567	-0.009174	-0.026506	-0.018783	-0.012821	-0.012688	-0.009243	-0.012186	-0.013816	-0.013011	-0.008363	-0.014412	-0.011756	-0.038182	-0.013088	-0.013488	-0.014463	-0.022512	-0.005576	-0.011857
11/21/18	0	0.030501	-0.02454	-0.003947	-0.013473	0.051364	0.004287	0	0.020854	0.009804	0.005952	0.005747	0.00678	-0.006857	-0.019856	0	-0.007389	-0.013072	0.003086	0.002464	-0.000083	0.048754	0.004257	0.005556	0.031712	0.021775	0.00487	0.015261	0.002992	-0.015214	-0.001981	0.001883	-0.003614	0.009301	0.005779	0.007561	0.017852	0.002992	0.008565	0	-0.005607	0.004867
11/22/18	-0.026652	0.010571	0.007862	-0.007926	-0.00607	-0.007634	-0.041622	-0.003984	-0.022538	0.019417	0	0	0.005051	-0.003452	-0.001842	-0.005068	0.004963	-0.007947	-0.003077	-0.001289	-0.014339	-0.035124	-0.007317	-0.001842	-0.001026	0.002647	-0.001616	0.010285	-0.004441	-0.007742	-0.002685	0.00188	-0.004837	-0.01601	-0.001026	-0.013133	-0.016377	-0.00875	-0.006545	-0.006061	0.008459	-0.001026
11/23/18	0.030668	0.01046	-0.01248	-0.018642	-0.00916	0	0.002227	-0.006	-0.025128	-0.038095	-0.002959	-0.002857	-0.018425	0.002309	-0.00738	0	0.004938	0.013351	0	-0.01632	-0.01976	-0.034261	-0.020877	0	-0.00319	-0.022177	0.001618	0	-0.011739	-0.014997	-0.019776	-0.005814	-0.003645	-0.01837	-0.008713	-0.015209	-0.031581	-0.016136	-0.011497	-0.003659	-0.000932	-0.008769
11/26/18	0.003188	0.024845	0.009479	-0.014925	0.001541	0.013846	-0.01	0.006036	-0.022777	0.013201	0.014837	0.020057	-0.001706	0.017281	-0.01487	0.006791	0.009828	0.024374	0.018519	-0.004986	-0.003599	0.02439	-0.010466	0.01845	-0.007415	-0.003699	0.017771	0.025059	0.002893	-0.007411	0.001161	0.037037	0.008537	-0.027223	0.003949	0.021236	0.012821	0.009064	0.006769	0.019584	0.014925	0.004917
