Date	316 HK Equity	1378 HK Equity	883 HK Equity	1171 HK Equity	386 HK Equity	1308 HK Equity	1088 HK Equity	998 HK Equity	600019 CH Equity	1919 HK Equity	3988 HK Equity	1288 HK Equity	3323 HK Equity	762 HK Equity	857 HK Equity	3328 HK Equity	728 HK Equity	941 HK Equity	939 HK Equity	000651 CH Equity	601088 CH Equity	2007 HK Equity	601006 CH Equity	1398 HK Equity	002157 CH Equity	601155 CH Equity	267 HK Equity	1044 HK Equity	601328 CH Equity	600028 CH Equity	601169 CH Equity	17 HK Equity	868 HK Equity	601225 CH Equity	601988 CH Equity	688 HK Equity	000002 CH Equity	601818 CH Equity	601288 CH Equity	2628 HK Equity	6 HK Equity	601398 CH Equity	000069 CH Equity	600000 CH Equity	601939 CH Equity
12/16/21	175.000	7.890	7.750	17.760	3.700	30.850	19.400	3.380	9.154	14.800	2.730	2.640	9.460	3.850	3.530	4.640	2.550	46.350	5.240	44.167	28.002	7.19	7.757	4.26	11.336	36.238	7.62	39.8	5.564	5.172	5.441	30.2	20.1	16.789	3.738	18.56	24.252	4.081	3.603	12.98	48.45	5.662	7.757	10.539	7.157
12/17/21	172.200	8.100	7.880	17.660	3.670	30.050	18.520	3.360	9.166	14.680	2.740	2.640	9.570	3.860	3.510	4.640	2.540	46.450	5.310	43.442	26.959	7.14	7.771	4.29	11.234	35.977	7.73	40.35	5.543	5.140	5.409	30.1	18.9	15.982	3.745	18.68	23.899	4.063	3.586	13.04	48.4	5.641	7.722	10.475	7.134
12/20/21	172.000	7.680	7.820	16.420	3.620	30.250	17.980	3.340	8.859	14.840	2.750	2.650	9.240	3.850	3.430	4.630	2.520	46.350	5.270	43.131	26.625	6.85	7.770	4.29	11.049	35.325	7.68	40.7	5.543	5.115	5.408	29.5	17.18	15.735	3.732	18.48	23.933	4.050	3.597	12.94	48.65	5.641	7.721	10.498	7.133
12/21/21	174.800	7.720	7.790	16.560	3.590	30.950	18.160	3.360	9.159	15.000	2.740	2.620	9.490	3.850	3.370	4.590	2.540	46.300	5.260	43.909	27.183	7.07	7.849	4.28	11.143	37.175	7.54	40.95	5.571	5.155	5.449	29.55	18.6	15.845	3.747	18.74	24.869	4.090	3.600	12.88	48.4	5.694	8.143	10.543	7.188
12/22/21	172.800	7.950	7.870	16.340	3.600	29.450	18.400	3.370	8.989	14.300	2.750	2.640	9.590	3.850	3.400	4.610	2.560	46.300	5.270	44.001	27.077	6.98	7.813	4.31	11.303	36.396	7.54	41.4	5.560	5.143	5.425	29.5	18.68	15.712	3.747	18.44	24.321	4.066	3.600	12.92	48.35	5.682	8.389	10.495	7.201
12/23/21	181.000	8.480	8.020	17.100	3.690	30.200	18.660	3.370	9.037	15.080	2.750	2.670	9.680	3.860	3.470	4.640	2.570	46.600	5.340	43.729	27.761	7.04	7.813	4.36	11.756	36.676	7.7	41.4	5.572	5.204	5.425	29.65	19.34	15.980	3.747	18.48	24.063	4.078	3.600	12.96	48.7	5.694	8.254	10.507	7.213
12/24/21	179.800	8.370	8.100	16.640	3.690	29.550	18.560	3.390	8.892	14.820	2.760	2.670	9.650	3.880	3.480	4.640	2.590	47.500	5.360	43.603	27.509	7.04	7.753	4.38	11.709	35.642	7.77	41.4	5.573	5.156	5.414	29.65	18.94	15.371	3.736	18.46	24.055	4.066	3.601	12.9	48.7	5.695	8.365	10.460	7.239
12/28/21	186.800	8.330	8.170	15.820	3.710	29.450	18.380	3.400	8.768	15.380	2.800	2.690	9.610	3.880	3.500	4.700	2.570	47.300	5.400	46.288	27.283	7.12	7.739	4.43	11.682	36.039	7.96	42.25	5.608	5.192	5.449	30.35	19.56	15.037	3.759	18.52	24.099	4.078	3.612	13.1	49.2	5.731	8.621	10.494	7.237
12/29/21	186.800	8.140	8.130	15.480	3.670	29.200	18.240	3.390	8.730	15.060	2.810	2.690	9.520	3.880	3.510	4.750	2.570	47.200	5.410	45.083	27.280	6.96	7.738	4.43	11.571	35.753	7.88	41.15	5.620	5.192	5.461	30.7	19.36	15.097	3.734	18.38	23.729	4.065	3.600	13.06	49.15	5.706	8.669	10.456	7.187
12/30/21	185.800	8.050	8.030	15.560	3.620	28.750	18.160	3.390	8.702	15.080	2.830	2.690	9.400	3.880	3.470	4.690	2.570	47.050	5.400	45.074	26.851	6.86	7.808	4.41	11.516	34.769	7.68	40.25	5.630	5.165	5.446	30.8	19.52	14.845	3.733	18.46	23.400	4.063	3.598	12.9	49.25	5.679	8.738	10.452	7.184
